{1: [6, 3, 5], 2: [7, 2], 3: [4, 1], 'total_second': 9411}
{1: [6, 3, 1], 2: [7, 2], 3: [4, 5], 'total_second': 10179}
{1: [6, 3], 2: [7, 2], 3: [4, 5, 1], 'total_second': 10270}
{1: [3, 1], 2: [7, 2], 3: [4, 6, 5], 'total_second': 10532}
{1: [3, 5], 2: [7, 2], 3: [4, 6, 1], 'total_second': 10534}
{1: [3], 2: [7, 2], 3: [4, 5, 6, 1], 'total_second': 10596}
{1: [5, 3, 1], 2: [7, 2], 3: [4, 6], 'total_second': 10607}
{1: [4, 6, 5], 2: [7, 2], 3: [3, 1], 'total_second': 10912}
{1: [2, 6, 3, 5], 2: [], 3: [4, 7, 1], 'total_second': 6771}
{1: [2, 6, 3, 5], 2: [7, 1, 4], 3: [], 'total_second': 7067}
{1: [2, 6, 3, 5], 2: [4], 3: [7, 1], 'total_second': 7171}
{1: [2, 6, 3, 5], 2: [7, 1], 3: [4], 'total_second': 7380}
{1: [2, 6, 3, 5], 2: [7, 4], 3: [1], 'total_second': 7964}
{1: [2, 6, 3, 5], 2: [7], 3: [4, 1], 'total_second': 8027}
{1: [2, 6, 3, 5], 2: [1, 4], 3: [7], 'total_second': 8060}
{1: [2, 6, 3, 5], 2: [1], 3: [4, 7], 'total_second': 8251}
{1: [2, 5, 1], 2: [7, 4], 3: [6, 3], 'total_second': 8870}
{1: [4, 2, 5, 1], 2: [7], 3: [6, 3], 'total_second': 9220}
{1: [4, 7], 2: [2, 5, 1], 3: [6, 3], 'total_second': 9606}
{1: [2, 5], 2: [7, 1, 4], 3: [6, 3], 'total_second': 9649}
{1: [7, 1], 2: [4, 2, 5], 3: [6, 3], 'total_second': 9843}
{1: [7, 2, 5], 2: [1, 4], 3: [6, 3], 'total_second': 9879}
{1: [4, 2, 5], 2: [7, 1], 3: [6, 3], 'total_second': 10015}
{1: [7, 5], 2: [4, 2, 1], 3: [6, 3], 'total_second': 10097}
{1: [7, 5, 1], 2: [2, 4], 3: [6, 3], 'total_second': 10183}
{1: [7, 2, 1], 2: [5, 4], 3: [6, 3], 'total_second': 10224}
{1: [4, 7, 1], 2: [2, 5], 3: [6, 3], 'total_second': 10315}
{1: [7, 2], 2: [4, 5, 1], 3: [6, 3], 'total_second': 10317}
{1: [4, 5, 1], 2: [7, 2], 3: [6, 3], 'total_second': 10564}
{1: [4, 7, 2, 1], 2: [5], 3: [6, 3], 'total_second': 10674}
{1: [4, 7, 2], 2: [5, 1], 3: [6, 3], 'total_second': 10763}
{1: [6, 3, 5], 2: [7, 2, 1], 3: [4], 'total_second': 7805}
{1: [6, 3], 2: [7, 2, 1], 3: [4, 5], 'total_second': 10115}
{1: [4, 5], 2: [7, 2, 1], 3: [6, 3], 'total_second': 10400}
{1: [3], 2: [7, 2, 1], 3: [4, 6, 5], 'total_second': 10468}
{1: [3, 5], 2: [7, 2, 1], 3: [4, 6], 'total_second': 10499}
{1: [4, 6, 5], 2: [7, 2, 1], 3: [3], 'total_second': 10861}
{1: [6, 3, 5], 2: [7, 2, 4], 3: [1], 'total_second': 9213}
{1: [6, 3, 1], 2: [7, 2, 4], 3: [5], 'total_second': 9982}
{1: [5, 1], 2: [7, 2, 4], 3: [6, 3], 'total_second': 10039}
{1: [6, 3], 2: [7, 2, 4], 3: [5, 1], 'total_second': 10073}
{1: [3, 1], 2: [7, 2, 4], 3: [6, 5], 'total_second': 10336}
{1: [3, 5], 2: [7, 2, 4], 3: [6, 1], 'total_second': 10338}
{1: [3], 2: [7, 2, 4], 3: [5, 6, 1], 'total_second': 10399}
{1: [5, 3, 1], 2: [7, 2, 4], 3: [6], 'total_second': 10411}
{1: [6, 5], 2: [7, 2, 4], 3: [3, 1], 'total_second': 10435}
{1: [5, 6, 1], 2: [7, 2, 4], 3: [3], 'total_second': 10473}
{1: [4, 5, 6, 1], 2: [7], 3: [2, 3], 'total_second': 9559}
{1: [4, 5, 6, 1], 2: [7, 2], 3: [3], 'total_second': 10998}
{1: [5, 6, 3, 1], 2: [], 3: [7, 2, 4], 'total_second': 7199}
{1: [5, 6, 3, 1], 2: [7, 2, 4], 3: [], 'total_second': 7451}
{1: [5, 6, 3, 1], 2: [4], 3: [7, 2], 'total_second': 7648}
{1: [5, 6, 3, 1], 2: [7, 2], 3: [4], 'total_second': 7883}
{1: [5, 6, 3, 1], 2: [7, 4], 3: [2], 'total_second': 8326}
{1: [5, 6, 3, 1], 2: [7], 3: [4, 2], 'total_second': 8389}
{1: [5, 6, 3, 1], 2: [2, 4], 3: [7], 'total_second': 8407}
{1: [5, 6, 3, 1], 2: [2], 3: [4, 7], 'total_second': 8717}
{1: [6, 3], 2: [4, 2, 5, 1], 3: [7], 'total_second': 8996}
{1: [7], 2: [4, 2, 5, 1], 3: [6, 3], 'total_second': 9134}
{1: [7, 5, 1], 2: [4], 3: [2, 6, 3], 'total_second': 8116}
{1: [5, 1], 2: [7, 4], 3: [2, 6, 3], 'total_second': 8796}
{1: [7], 2: [4, 5, 1], 3: [2, 6, 3], 'total_second': 9100}
{1: [4, 5, 1], 2: [7], 3: [2, 6, 3], 'total_second': 9186}
{1: [4, 7], 2: [5, 1], 3: [2, 6, 3], 'total_second': 9546}
{1: [5], 2: [7, 1, 4], 3: [2, 6, 3], 'total_second': 9575}
{1: [7, 5], 2: [1, 4], 3: [2, 6, 3], 'total_second': 9756}
{1: [7, 1], 2: [5, 4], 3: [2, 6, 3], 'total_second': 9805}
{1: [4, 5], 2: [7, 1], 3: [2, 6, 3], 'total_second': 9981}
{1: [4, 7, 1], 2: [5], 3: [2, 6, 3], 'total_second': 10255}
{1: [7, 2, 5], 2: [4], 3: [6, 3, 1], 'total_second': 8126}
{1: [2, 5], 2: [7, 4], 3: [6, 3, 1], 'total_second': 8757}
{1: [7], 2: [4, 2, 5], 3: [6, 3, 1], 'total_second': 9063}
{1: [4, 2, 5], 2: [7], 3: [6, 3, 1], 'total_second': 9107}
{1: [4, 7], 2: [2, 5], 3: [6, 3, 1], 'total_second': 9535}
{1: [5], 2: [7, 2, 4], 3: [6, 3, 1], 'total_second': 9926}
{1: [7, 5], 2: [2, 4], 3: [6, 3, 1], 'total_second': 10070}
{1: [7, 2], 2: [5, 4], 3: [6, 3, 1], 'total_second': 10242}
{1: [4, 5], 2: [7, 2], 3: [6, 3, 1], 'total_second': 10451}
{1: [4, 7, 2], 2: [5], 3: [6, 3, 1], 'total_second': 10692}
{1: [3], 2: [7], 3: [4, 2, 6, 5, 1], 'total_second': 9247}
{1: [2, 6, 1], 2: [7, 4], 3: [5, 3], 'total_second': 9193}
{1: [4, 2, 6, 1], 2: [7], 3: [5, 3], 'total_second': 9543}
{1: [2, 6], 2: [7, 1, 4], 3: [5, 3], 'total_second': 10089}
{1: [6, 1], 2: [7, 2, 4], 3: [5, 3], 'total_second': 10442}
{1: [4, 2, 6], 2: [7, 1], 3: [5, 3], 'total_second': 10455}
{1: [4, 6], 2: [7, 2, 1], 3: [5, 3], 'total_second': 10872}
{1: [4, 6, 1], 2: [7, 2], 3: [5, 3], 'total_second': 10919}
{1: [7, 1, 2, 5], 2: [4], 3: [6, 3], 'total_second': 8222}
{1: [6, 1], 2: [7, 4], 3: [2, 3, 5], 'total_second': 9151}
{1: [4, 6, 1], 2: [7], 3: [2, 3, 5], 'total_second': 9493}
{1: [6], 2: [7, 1, 4], 3: [2, 3, 5], 'total_second': 10047}
{1: [4, 6], 2: [7, 1], 3: [2, 3, 5], 'total_second': 10405}
{1: [2, 6, 5, 1], 2: [7], 3: [4, 3], 'total_second': 9359}
{1: [2, 6, 5], 2: [7, 1], 3: [4, 3], 'total_second': 10154}
{1: [6, 5], 2: [7, 2, 1], 3: [4, 3], 'total_second': 10579}
